nombre_original_agenda,doctor,area,tipo_turno,dia,hora_inicio,hora_fin,efector
PEDIATRIA - DRA. CHIFFLET MARIA - PROGRAMADA,CHIFFLET MARIA,PEDIATRIA,PROGRAMADA,Lunes,12:00,14:30,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - PROGRAMADA,CHIFFLET MARIA,PEDIATRIA,PROGRAMADA,Miércoles,10:30,12:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. CHIFFLET MARIA - PROGRAMADA,CHIFFLET MARIA,PEDIATRIA,PROGRAMADA,Viernes,10:00,12:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. BUTRON NATALIA - PROGRAMADA,BUTRON NATALIA,PEDIATRIA,PROGRAMADA,Lunes,10:00,15:30,CAPS Bajo Boulogne
PEDIATRIA - DRA. BUTRON NATALIA - PROGRAMADA,BUTRON NATALIA,PEDIATRIA,PROGRAMADA,Martes,08:00,12:00,CAPS Bajo Boulogne
PEDIATRIA - DRA. BUTRON NATALIA - PROGRAMADA,BUTRON NATALIA,PEDIATRIA,PROGRAMADA,Jueves,10:00,15:30,CAPS Bajo Boulogne
PEDIATRIA - DR. VARELA EZEQUIEL - PROGRAMADA,VARELA EZEQUIEL,PEDIATRIA,PROGRAMADA,Lunes,13:00,17:00,CAPS Bajo Boulogne
PEDIATRIA - DR. VARELA EZEQUIEL - PROGRAMADA,VARELA EZEQUIEL,PEDIATRIA,PROGRAMADA,Sábado,09:00,13:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - PROGRAMADA,PICCOLI SABRINA,ADOLESCENCIA,PROGRAMADA,Miércoles,09:00,11:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - PROGRAMADA,PICCOLI SABRINA,ADOLESCENCIA,PROGRAMADA,Jueves,10:00,15:00,CAPS Bajo Boulogne
ADOLESCENCIA - DRA. PICCOLI SABRINA - PROGRAMADA,PICCOLI SABRINA,ADOLESCENCIA,PROGRAMADA,Viernes,10:00,15:00,CAPS Bajo Boulogne
ODONTOLOGIA - DRA. AGUIRRE MARCELA - PROGRAMADA,AGUIRRE MARCELA,ODONTOLOGIA,PROGRAMADA,Jueves,12:00,14:20,CAPS Bajo Boulogne
ODONTOLOGIA - DRA. AGUIRRE MARCELA - PROGRAMADA,AGUIRRE MARCELA,ODONTOLOGIA,PROGRAMADA,Martes,12:00,14:20,CAPS Bajo Boulogne
ODONTOLOGIA - DRA. AGUIRRE MARCELA - PROGRAMADA,AGUIRRE MARCELA,ODONTOLOGIA,PROGRAMADA,Viernes,08:00,14:20,CAPS Bajo Boulogne
